Geneid	X_filesTien_Cont1_S25sorted	X_filesTien_Cont2_S26sorted	X_filesTien_Cont3_S27sorted	X_filesTien_Zn1_S28sorted	X_filesTien_Zn2_S29sorted	X_filesTien_Zn3_S30sorted
CYCS	724.0	10230.0	14842.0	12867.0	11680.0	8329.0
CYCSP1	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP10	5.0	43.0	53.0	67.0	46.0	45.0
CYCSP11	0.0	2.0	0.0	1.0	2.0	0.0
CYCSP12	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP17	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP19	0.0	2.0	0.0	0.0	0.0	0.0
CYCSP2	0.0	2.0	0.0	2.0	0.0	0.0
CYCSP20	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP22	0.0	0.0	0.0	0.0	1.0	0.0
CYCSP24	2.0	20.0	34.0	19.0	22.0	33.0
CYCSP25	0.0	0.0	0.0	0.0	1.0	0.0
CYCSP26	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP27	0.0	2.0	1.0	3.0	0.0	1.0
CYCSP28	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP29	0.0	0.0	4.0	0.0	0.0	0.0
CYCSP30	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP32	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP33	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP34	0.0	4.0	10.0	11.0	11.0	7.0
CYCSP35	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP38	0.0	0.0	0.0	2.0	0.0	0.0
CYCSP39	0.0	2.0	2.0	2.0	0.0	2.0
CYCSP4	0.0	0.0	0.0	1.0	0.0	0.0
CYCSP40	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP41	0.0	7.0	6.0	2.0	7.0	2.0
CYCSP42	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP43	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP44	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP45	0.0	4.0	4.0	1.0	2.0	0.0
CYCSP46	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP48	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP49	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP5	0.0	2.0	0.0	0.0	0.0	0.0
CYCSP51	0.0	1.0	0.0	0.0	2.0	0.0
CYCSP52	0.0	18.0	8.0	10.0	5.0	6.0
CYCSP53	0.0	0.0	0.0	0.0	0.0	0.0
CYCSP55	1.0	4.0	12.0	9.0	15.0	6.0
CYCSP6	0.0	0.0	5.0	0.0	1.0	0.0
CYCSP8	0.0	0.0	0.0	0.0	0.0	0.0
CYCTP	0.0	0.0	0.0	0.0	0.0	0.0
CYGB	6.0	82.0	155.0	168.0	135.0	93.0
CYHR1	178.0	2379.0	3092.0	2723.0	2505.0	1734.0
CYLC1	0.0	0.0	0.0	0.0	0.0	0.0
CYMP	0.0	0.0	0.0	0.0	0.0	0.0
CYP11B1	0.0	0.0	0.0	0.0	0.0	0.0
CYP11B2	0.0	0.0	0.0	0.0	0.0	0.0
CYP17A1	0.0	0.0	2.0	2.0	0.0	2.0
CYP17A1-AS1	0.0	0.0	0.0	0.0	0.0	0.0
CYP19A1	4.0	32.0	33.0	53.0	35.0	18.0
CYP1A1	5.0	134.0	134.0	172.0	124.0	86.0
CYP1A2	0.0	2.0	3.0	4.0	0.0	0.0
CYP1B1	73.0	1317.0	1813.0	2000.0	1648.0	1188.0
CYP1B1-AS1	1.0	62.0	68.0	35.0	31.0	25.0
CYP1D1P	0.0	0.0	0.0	1.0	2.0	0.0
CYP21A1P	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	0.0	0.0	0.0	0.0	0.0	0.0
CYP24A1	0.0	0.0	1.0	3.0	0.0	3.0
CYP26A1	23.0	340.0	486.0	270.0	238.0	154.0
CYP26B1	7.0	195.0	250.0	299.0	282.0	160.0
CYP26C1	0.0	7.0	11.0	5.0	5.0	0.0
CYP27A1	41.0	724.0	1027.0	828.0	757.0	487.0
CYP27B1	20.0	417.0	507.0	468.0	424.0	324.0
CYP27C1	40.0	435.0	585.0	571.0	562.0	378.0
CYP2A13	0.0	7.0	1.0	4.0	12.0	0.0
CYP2A6	0.0	2.0	5.0	6.0	0.0	4.0
CYP2A7	0.0	0.0	2.0	0.0	2.0	2.0
CYP2A7P1	0.0	0.0	0.0	0.0	0.0	0.0
CYP2AB1P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2AC1P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2B6	0.0	29.0	45.0	30.0	53.0	21.0
CYP2B7P	0.0	1.0	3.0	0.0	1.0	0.0
CYP2C18	0.0	0.0	5.0	0.0	1.0	0.0
CYP2C19	0.0	0.0	0.0	0.0	0.0	0.0
CYP2C56P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2C58P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2C59P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2C60P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2C61P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2C8	0.0	0.0	0.0	2.0	0.0	2.0
CYP2C9	0.0	0.0	0.0	0.0	0.0	0.0
CYP2D7P	2.0	20.0	25.0	20.0	20.0	18.0
CYP2D8P	1.0	0.0	1.0	8.0	0.0	2.0
CYP2E1	8.0	169.0	188.0	204.0	203.0	139.0
CYP2F1	0.0	9.0	17.0	17.0	20.0	17.0
CYP2F2P	0.0	33.0	32.0	29.0	26.0	10.0
CYP2G2P	0.0	0.0	0.0	0.0	0.0	0.0
CYP2J2	8.0	36.0	33.0	42.0	50.0	36.0
CYP2R1	0.0	4.0	3.0	31.0	0.0	0.0
CYP2S1	464.0	6056.0	8615.0	6501.0	5726.0	3516.0
