"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"BFAR",2868.72422002298,-0.0647067242163709,0.0507626321566223,0.180437244746247,0.438745264339013
"BFSP1",297.794897949057,0.0327419508813958,0.114765821176993,0.70049693444658,0.876034680610466
"BGLAP",23.660890413398,-0.00345936325524347,0.158560856938567,0.94429520394344,0.979161488396736
"BHLHA15",27.4248666414286,-0.0158046639581737,0.161219239694014,0.731575437467403,0.890316674288298
"BHLHB9",240.385461213437,-0.0145692662120522,0.116310788254453,0.860491894584436,0.946892305224343
"BHLHE23",63.6984691361415,-0.157753890178496,0.212174566352235,0.0986833306120496,0.304231285683345
"BHLHE40",536.172914547338,0.566895425148988,0.105558137567333,6.85803866659864e-09,2.09510167083852e-07
"BHLHE40-AS1",10.7403066055429,-0.00643761900133383,0.163354681661418,0.867005394749532,NA
"BHLHE41",831.75180648416,0.0342236701591965,0.0854873988890577,0.651581849928323,0.847884788385939
"BICC1",46.2765176809042,0.0436686247305159,0.157221561906747,0.524503533838853,0.76674069525799
"BICD1",5034.70283011024,0.0377542656612627,0.0416285863380441,0.359642838368934,0.64510784580349
"BICD2",2039.6931733938,-0.0547215396457415,0.0543780030014567,0.293883405782163,0.581618397495843
"BIK",66.5274811450762,-0.0473386436355534,0.154230428781783,0.52061473238651,0.764059509261857
"BIN2",10.8064520616486,0.0254562703352465,0.16694131866448,0.449185040802096,NA
"BIN3",485.59220731417,0.158224396746203,0.102026295745306,0.0591722316746678,0.218176933739773
"BIRC2",1600.48936016197,-0.0220519744429716,0.0716149127223147,0.733934565869085,0.891434255496601
"BIRC6",3452.52883462681,-0.165023976273887,0.0522668985598563,0.000879851199194698,0.00824903944884056
"BIVM",397.082894984586,0.260077240187068,0.12694172126907,0.00952836634334107,0.0563962144053732
"BLCAP",2753.09772995085,0.107128822886334,0.0520453788903277,0.0299789305941814,0.135865672189773
"BLM",1959.00838365177,0.00729617258374405,0.0568446508139977,0.892233585281326,0.959286507136002
"BLOC1S1",50.6082306947122,0.00674590886680062,0.149883021151606,0.922420727469934,0.970374159006333
"BLOC1S2",568.003176516712,0.490303952425636,0.101439326963305,1.47713265687662e-07,3.71314652022319e-06
"BLOC1S3",125.528783596028,0.185980150181139,0.192209777454556,0.08310397674642,0.270263355016102
"BLOC1S4",734.713516798946,0.0919062250015639,0.0973043079473853,0.253097560907693,0.533536714744204
"BLOC1S6",1132.84699058624,0.0292231590500543,0.067838185104986,0.640581304434512,0.841830690316694
"BLVRA",677.107106189518,0.118224348859704,0.0856063177071284,0.109799988164824,0.325476380530363
"BLVRB",456.843157658566,-0.0790860529350771,0.105976038285574,0.335916628191249,0.626517626844418
"BLZF1",527.6173676661,0.0257861087054378,0.0876430163753216,0.731740770666079,0.890341021196321
"BMF",539.327687723212,-0.158081524770198,0.0945840213469339,0.0474891306959007,0.186497736862561
"BMI1",254.655000752777,-0.0444981062413021,0.111261253676801,0.595835204529782,0.813249822256571
"BMP2",80.6046011011812,0.0579624181206196,0.150403637890808,0.461393457127429,0.723628132876992
"BMP6",34.0902809087945,0.0402607807036273,0.159512017408557,0.522447894230053,0.765395746688886
"BMP7",1462.87269854517,0.0790062643023823,0.0822378890083411,0.268632720445832,0.551377213597171
"BMP8A",14.2461746020853,0.00478393778940571,0.162191602753064,0.912211286917587,NA
"BMP8B",44.23389012777,-0.0780509732170132,0.176602000961887,0.221351265545988,0.493450728534529
"BMPER",47.0851212956072,0.0495425832127469,0.158258315642129,0.47657573917019,0.73494127895532
"BMPR1A",3011.38433479314,-0.277324096407713,0.0576825410371876,4.39559661613747e-07,1.02601978156767e-05
"BMPR1APS1",54.4142810080037,-0.0857827467373948,0.178780280659792,0.211966895149321,0.482046579798922
"BMPR1APS2",17.4039808663064,-0.0380892139171002,0.170515218417295,0.228475531915645,NA
"BMPR1B",90.1823220224839,0.148209634447642,0.211187177207122,0.0978999273274224,0.302507970286225
"BMPR2",1216.60708164005,-0.235178747311264,0.0731908505104193,0.000416785955800838,0.00430107152857056
"BMS1",3226.65185761828,0.115161022763643,0.0535238252357184,0.022683514658431,0.110288107338377
"BMS1P10",49.7287626813302,-0.00855681074375026,0.152474934758597,0.891181614316037,0.959230601674446
"BMS1P17",11.9310780816371,-0.0195720138280055,0.164587900991588,0.61052289682538,NA
"BMS1P18",62.9623935739999,-0.00636560130755607,0.146819065079854,0.927540338519503,0.97216396254197
"BMS1P4",15.8778855386356,0.0135387620876039,0.162763844721346,0.756375249934188,NA
"BMS1P5",13.7530048724316,0.0442992266832272,0.17072318906696,0.300135385577879,NA
"BMS1P8",260.370761012188,0.0486757870536309,0.119388821361975,0.569693117705033,0.797027439776648
"BNC1",30.6628463003491,0.233897879540859,0.439502146258739,0.0152054412027315,0.081987738965128
"BNIP2",1800.78458465445,0.0822270544849294,0.0593839894052952,0.138332425208181,0.373705694977704
"BNIP3",1193.70603807192,-0.120137575746643,0.0721584354637603,0.0648924993421477,0.231722090366133
"BNIP3P1",5.85996538953893,0.00962784866382788,0.165626300615757,0.749715031189615,NA
"BOD1",2891.82403696408,0.0345495641963916,0.0518256230662876,0.484217362753866,0.73921291618597
"BOD1L1",5168.80913102435,-0.0218816833433965,0.040605518423292,0.5781952523372,0.802478455753457
"BOK",548.873486255159,0.217077143378708,0.0976219818561018,0.0088288739850552,0.0529241673456561
"BOLA2B",29.0079327859868,-0.0422748838147809,0.174204606360112,0.0865582242596873,0.278141802865455
"BOLA3",590.805124562357,0.477395214676908,0.100064559676304,2.04249349262967e-07,5.0173689805281e-06
"BOLA3-AS1",74.4446803426639,0.520564921423294,0.33400709924778,0.0060676848044643,0.0396809659983888
"BOP1",243.173901070524,0.389920831309956,0.209161481310467,0.00570511503290505,0.0377216189545359
"BPGM",443.804891252266,0.115464233446643,0.101097486883075,0.160341548560111,0.407905004052323
"BPHL",618.500854235816,-0.0483085476401575,0.0917094602661817,0.527013637661276,0.769158894104643
"BRAF",1167.93596369699,-0.101225608248182,0.0704220123951823,0.112732863618377,0.330444856580993
"BRD2",62.315876167664,0.0913063783670588,0.182373313229505,0.182717732239058,0.441998210961417
"BRD7P2",66.3665444704468,0.0942591249597512,0.171231718606082,0.248280202797446,0.528305782748157
"BRF2",290.649667407112,-0.140518717603555,0.123215028835239,0.124644957265761,0.351969421092949
"BRI3",2569.92677540829,0.158131718674651,0.0519587442235752,0.00135079671513248,0.0118142674582227
"BRICD5",340.758136554622,0.0119914399450238,0.102216357280503,0.884273134198605,0.956181838884765
"BRINP1",1537.58113466122,-0.343090883356541,0.08011627351744,2.98084685210421e-06,5.68946061116669e-05
"BRIP1",886.75259251058,-0.153071465285602,0.0806771598154731,0.0313573506084188,0.140185271289359
"BRIX1",1078.23222758863,0.193486897811354,0.0791218656188991,0.0062629647178501,0.0405157837536266
"BRK1",3498.84183444744,0.128310672496454,0.053827802223411,0.0113409913153294,0.0648468983799111
"BRMS1",981.573541209816,0.0607987465134137,0.0710769760947018,0.345181481698405,0.634146013396184
"BRMS1L",244.597623057961,0.299700542572631,0.158532097391327,0.00974273574849462,0.0575072043304685
"BROX",1439.34018682108,-0.177550574766903,0.0679262607968757,0.00431580967339217,0.0301435825892883
"BRWD1",4609.69677175628,-0.179639852498002,0.043639114169703,1.93440544091429e-05,0.000300718182859245
"BRWD1-AS1",10.9431563579773,-0.015252594375923,0.163679822909349,0.702721264557475,NA
"BRWD1-IT2",38.5755183356517,-0.0992899325237584,0.188537452026695,0.163642683515265,0.413477670812703
"BSN",521.013727242235,0.0352187920240999,0.0973307157143465,0.65667893685067,0.850237201944726
"BSN-AS2",33.3607986165922,0.022500814066072,0.156068545907328,0.715698214244558,0.881314760704983
"BSND",98.5159960467075,0.16770658764666,0.194487261117954,0.0996219644855352,0.305726597897556
"BST1",39.1022646988507,0.0370996567478424,0.158743401223039,0.553983610499065,0.787595569998577
"BST2",5728.46503667051,-0.0662053523799103,0.0401883137076072,0.0894333684116934,0.28382855943252
"BTAF1",2518.89853646077,-0.0940554370557996,0.0573760756698595,0.0796534593383377,0.263815388668499
"BTBD1",2523.0373027092,0.0937200286346853,0.0503534289142457,0.0507163691130374,0.195051827573108
"BTBD10",748.082582029882,0.109480096477126,0.0877378336417685,0.148171386656278,0.389726886268611
"BTBD17",10.3244421495769,-0.138645370180353,0.26100096037417,0.00331595447112012,NA
"BTBD18",28.2576660411983,0.0156954398423557,0.160084701261739,0.747828330109312,0.896337858804207
"BTBD19",93.2738573766166,0.276361762060779,0.27882286205933,0.0322116243277728,0.142598586515067
"BTBD2",6168.87501333785,-0.00725676025350799,0.0439129933415729,0.863063927686763,0.948300040272699
"BTBD6",280.23463290138,0.194145275269448,0.153348631362587,0.0640963192697296,0.23006590389378
"BTBD8",44.4098638827396,-0.118693538020511,0.200658709645905,0.120973899128585,0.344853959345138
"BTD",241.42965185317,-0.059317613850626,0.117990291493266,0.488014852028983,0.742487607827392
"BTF3L4P1",11.7028267075417,0.0401145391079245,0.169801823497017,0.323274712232288,NA
"BTF3L4P2",279.202676908391,-0.0593318451082185,0.117873884140875,0.491795679981838,0.744772449504865
"BTF3P10",59.4949484714129,0.0549122563980747,0.156779795759271,0.456183413597657,0.718547759407905
"BTF3P5",14.9863727475434,0.00725091159281142,0.16116701171035,0.876914121574895,NA
"BTF3P7",11.6753208913582,-0.0116934893651874,0.164288653126538,0.73638971087862,NA
"BTG1",516.937061090474,0.0521368127034418,0.0935837800094919,0.505779775599957,0.754924442916254
"BTG2",408.438327515889,2.6509094217916,0.140011106377927,1.06263061210335e-80,6.74082854171917e-78
"BTN1A1",17.4573531170228,0.0734503875440888,0.184636320870732,0.110273484267574,NA
"BTN3A2",5.98958937489388,0.0373248729745894,0.171647080123981,0.189837361424106,NA
"BTNL10",8.72750077552029,0.00344708900649978,0.163769832430596,0.92608942573322,NA
"BTNL8",16.7736893065952,-0.0701254197422853,0.181240485449745,0.158041071791923,NA
"BUB1B",3907.74623283061,0.0600581439146231,0.0440616994341921,0.157031095029575,0.403196030666414
"BUD13",1058.68311512071,0.11644665094174,0.0748778593472917,0.0812836142098523,0.266756693742863
"BUD31",1473.27658936875,0.113821505697676,0.0701510611753517,0.0742960995007753,0.253386823850842
"BVES",255.019849185485,0.205899805911365,0.153503090834372,0.0490236711716449,0.190580847121492
"BX119917.1",21.4057792958117,-0.0130543788436409,0.161752272838028,0.765180737811712,NA
"BX322557.10",620.892341160522,0.0702788747309504,0.088748136713816,0.35513851025027,0.641504928604318
"BYSL",973.189686142451,0.299749761393952,0.0924795012954999,0.000247872112296308,0.00270551908806011
"BZW1P2",79.3036393732369,-0.0282381796256597,0.153235688639053,0.664147847811942,0.85559316578712
"C10orf10",41.6196349178418,-0.112338705237822,0.194413210324517,0.144150628611313,0.383358909727349
"C10orf12",345.350815387226,0.0249122997274136,0.103703328644055,0.761037757651865,0.903960119832227
"C10orf126",33.0086694619224,0.632208787416114,0.612128759209487,0.00772860583958991,0.0478445955075416
"C10orf131",17.6070593111543,0.0136706399705134,0.160942335141226,0.777218253810719,NA
"C10orf2",991.465819283835,0.234796734810287,0.0780333426922375,0.000837237041874161,0.00790609830085022
"C10orf25",26.3382998146032,-0.0754435080986231,0.179146237595772,0.207823418951307,0.476082568007544
"C10orf35",238.493013445478,-0.08812716320636,0.122526735575799,0.317081589862478,0.607401297924247
"C10orf55",6.02718620566174,0.0410506631228586,0.172784618532143,0.162824942004817,NA
"C10orf76",448.462846267629,-0.0572179751657594,0.101099489613875,0.481253511083393,0.737821703656996
"C10orf88",344.171616875125,0.00309563180210175,0.101262929258089,0.970573940139887,0.989549426741265
"C10orf91",9.27860872539438,0.00800905987244707,0.165069854939335,0.794672380718915,NA
"C10orf95",18.2868483323271,0.00860562810118362,0.160865508734637,0.856552797405293,NA
"C11orf16",9.25131430884919,0.0166925651836359,0.16591832896653,0.590064297235803,NA
